Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784365233,400,,Aggregated,59.000000,0.100000,2500,2800,2900,3200,5300,6600,8100,10000,15000,20000,20000,7363,2,2500,2632.528234714254,8.474664064124227,19739.490506937727,265.57843270406084
1784365234,400,,Aggregated,59.100000,0.100000,2500,2800,2900,3200,5300,6600,8100,10000,15000,20000,20000,7416,2,2500,2641.749501885224,8.474664064124227,19739.490506937727,264.9607605177994
1784365235,400,,Aggregated,60.200000,0.100000,2500,2800,3000,3200,5300,6700,8100,10000,15000,20000,20000,7481,2,2500,2652.755253914751,8.474664064124227,19739.490506937727,265.9987969522791
1784365236,400,,Aggregated,60.000000,0.100000,2500,2800,3000,3300,5300,6700,8100,10000,15000,20000,20000,7527,2,2500,2662.8554577757195,8.474664064124227,19739.490506937727,266.94526371728443
1784365237,400,,Aggregated,60.100000,0.100000,2500,2800,3000,3400,5300,6700,8200,10000,15000,20000,20000,7594,2,2500,2676.6331695069975,8.474664064124227,19739.490506937727,266.6427442717935
1784365238,400,,Aggregated,60.700000,0.100000,2600,2800,3000,3500,5300,6700,8200,10000,15000,20000,20000,7646,2,2500,2685.4952067718855,8.474664064124227,19739.490506937727,267.3004185194873
1784365239,400,,Aggregated,59.300000,0.100000,2600,2800,3000,3600,5300,6700,8200,10000,15000,20000,20000,7708,2,2600,2695.218398301434,8.474664064124227,19739.490506937727,268.32511676180593
1784365240,400,,Aggregated,59.300000,0.100000,2600,2800,3000,3700,5300,6700,8300,10000,15000,20000,20000,7761,2,2600,2706.192632791622,8.474664064124227,19739.490506937727,268.75273804922045
1784365241,400,,Aggregated,59.100000,0.100000,2600,2800,3000,3700,5300,6700,8300,10000,15000,20000,20000,7820,2,2600,2716.4858574991795,8.474664064124227,19739.490506937727,269.279283887468
1784365242,400,,Aggregated,57.300000,0.000000,2600,2800,3000,3800,5300,6700,8300,10000,15000,20000,20000,7872,2,2600,2727.936332627405,8.474664064124227,19739.490506937727,268.8208841463415
1784365243,400,,Aggregated,58.500000,0.000000,2600,2900,3000,3800,5400,6700,8400,10000,16000,20000,20000,7931,2,2600,2741.057461842625,8.474664064124227,19739.490506937727,268.9812129617955
1784365244,400,,Aggregated,57.400000,0.000000,2600,2900,3100,3900,5400,6700,8400,10000,15000,20000,20000,8008,2,2600,2753.678057339709,8.474664064124227,19739.490506937727,269.2392607392607
1784365245,400,,Aggregated,57.700000,0.000000,2600,2900,3100,4100,5400,6700,8400,10000,15000,20000,20000,8054,2,2600,2763.395613538152,8.474664064124227,19739.490506937727,270.14142041221754
1784365246,400,,Aggregated,57.100000,0.000000,2600,2900,3100,4200,5400,6700,8500,10000,15000,20000,20000,8118,2,2600,2773.8816411994453,8.474664064124227,19739.490506937727,271.0012318305001
1784365247,400,,Aggregated,59.200000,0.000000,2600,2900,3100,4200,5400,6700,8600,10000,15000,20000,20000,8168,2,2600,2779.913449395094,8.474664064124227,19739.490506937727,271.193805093046
1784365248,400,,Aggregated,58.000000,0.000000,2600,2900,3100,4200,5400,6700,8600,10000,15000,20000,20000,8235,2,2600,2787.6536574763977,8.474664064124227,19739.490506937727,271.79234972677597
1784365249,400,,Aggregated,59.300000,0.000000,2600,2900,3100,4200,5400,6700,8600,10000,16000,20000,20000,8289,2,2600,2796.561648619589,8.474664064124227,19739.490506937727,271.34189890215947
1784365250,400,,Aggregated,57.000000,0.000000,2600,2900,3100,4200,5400,6700,8600,10000,16000,20000,20000,8339,2,2600,2800.6921771114366,8.474664064124227,19739.490506937727,272.92744933445255
1784365251,400,,Aggregated,58.400000,0.000000,2600,2900,3100,4300,5400,6700,8600,10000,16000,20000,20000,8402,2,2600,2812.436653841456,8.474664064124227,19739.490506937727,274.3478933587241
1784365252,400,,Aggregated,58.300000,0.000000,2600,2900,3100,4300,5500,6700,8600,10000,16000,20000,20000,8460,2,2600,2821.624703367178,8.474664064124227,19739.490506937727,274.2644208037825
1784365253,400,,Aggregated,57.300000,0.000000,2700,2900,3100,4400,5500,6800,8600,10000,16000,20000,20000,8519,2,2700,2835.614415142734,8.474664064124227,19739.490506937727,274.53421763117734
1784365254,400,,Aggregated,59.600000,0.000000,2700,2900,3100,4400,5500,6800,8700,10000,16000,20000,20000,8564,2,2700,2848.2700178245927,8.474664064124227,20367.02775512822,274.58617468472676
1784365255,400,,Aggregated,57.900000,0.000000,2700,3000,3200,4500,5500,6800,8700,10000,16000,20000,20000,8608,2,2700,2859.9055863292074,8.474664064124227,20367.02775512822,274.5319470260223
1784365256,400,,Aggregated,57.800000,0.000000,2700,3000,3200,4500,5500,6800,8700,10000,16000,20000,20000,8667,2,2700,2870.700380619423,8.474664064124227,20367.02775512822,274.6780893042575
1784365257,400,,Aggregated,55.300000,0.000000,2700,3000,3200,4500,5500,6800,8700,10000,16000,20000,20000,8725,2,2700,2879.106931545333,8.474664064124227,20367.02775512822,276.2355300859599
